"RFID","Date","Time","Feeder","Antenna","Site"
"01103F5814","05/17/2019","16:03:41","TG3",2,"Tony_Grove"
"01103F5814","05/17/2019","16:03:43","TG3",1,"Tony_Grove"
"01103F5814","05/17/2019","16:07:52","TG3",2,"Tony_Grove"
"01103F5814","05/20/2019","09:01:24","TG3",2,"Tony_Grove"
"0110171D9A","06/22/2019","09:35:03","TG3",1,"Tony_Grove"
"0110171D9A","06/22/2019","09:35:06","TG3",2,"Tony_Grove"
"01103F6F8D","07/01/2019","08:16:13","TG3",1,"Tony_Grove"
"01103F6F8D","07/01/2019","08:16:16","TG3",2,"Tony_Grove"
"01103F6F8D","07/10/2019","09:40:33","TG3",1,"Tony_Grove"
"01103F6F8D","07/10/2019","09:40:37","TG3",1,"Tony_Grove"
"01103F6F8D","07/15/2019","08:13:11","TG3",2,"Tony_Grove"
"01103F6F8D","07/15/2019","08:14:49","TG3",1,"Tony_Grove"
"01103F6F8D","07/15/2019","08:14:55","TG3",2,"Tony_Grove"
"01103F6F8D","07/22/2019","07:03:18","TG3",1,"Tony_Grove"
"01103F6F8D","07/22/2019","07:03:24","TG3",2,"Tony_Grove"
"01103F6F8D","07/29/2019","07:24:22","TG3",1,"Tony_Grove"
"01103F6F8D","07/29/2019","07:24:32","TG3",2,"Tony_Grove"
"01103F6F8D","08/12/2019","04:16:06","TG3",1,"Tony_Grove"
